"Patch","Date","Url"
"2.1","","https://na.finalfantasyxiv.com/lodestone/topics/detail/03843d6bf7ba69adc37d7955ff7af43f3c43828a"
"2.15","","https://na.finalfantasyxiv.com/lodestone/topics/detail/259c00a28523999519a34896d7ba39b67875a7af"
"2.16","","https://na.finalfantasyxiv.com/lodestone/topics/detail/1e50acf08461e355e3e5d4736391ba3f787720f1"
"2.2","","https://na.finalfantasyxiv.com/lodestone/topics/detail/69e2c959d2e9285fd541e7f5f70fb8139b3464da"
"2.21","","https://na.finalfantasyxiv.com/lodestone/topics/detail/198cac9ac0f1ad52a42c7ff4addc97c280208a1c"
"2.25","","https://na.finalfantasyxiv.com/lodestone/topics/detail/506a135c96590f304f18e8c110b45897e3a016cf"
"2.28","","https://na.finalfantasyxiv.com/lodestone/topics/detail/450816f57ade2015876e7675c3d06dca30386770"
"2.3","","https://na.finalfantasyxiv.com/lodestone/topics/detail/c96b9e090eb60d1ebd1b89e20e582d59335acd84"
"2.35","","https://na.finalfantasyxiv.com/lodestone/topics/detail/2952cde08127ad3911220b2b5744330af2f11d85"
"2.38","","https://na.finalfantasyxiv.com/lodestone/topics/detail/466a99222687298cf0515b6f476869b10e012e57"
"2.4","","https://na.finalfantasyxiv.com/lodestone/topics/detail/4a7a48cd010551b65b1e0f03b318d0d45bf52d59"
"2.41","","https://na.finalfantasyxiv.com/lodestone/topics/detail/b1efc31304f61d1171ac95d7b954908abc185342"
"2.45","","https://na.finalfantasyxiv.com/lodestone/topics/detail/e131753e64b2980c646e605b11cf56b933b99601"
"2.5","","https://na.finalfantasyxiv.com/lodestone/topics/detail/5d677f92bbe71478ffaccd9972735b3d4280abe6"
"2.51","","https://na.finalfantasyxiv.com/lodestone/topics/detail/fb9f6956394bb5547bdc91b2062ec4fa99fee568"
"2.55","","https://na.finalfantasyxiv.com/lodestone/topics/detail/ca7d7d74c94b623db3991220110aa80df21ff1fc"
"2.56","","https://na.finalfantasyxiv.com/lodestone/topics/detail/6f36bfdddf00f7d04ed02b15cd5e610089cc0c86"
"2.57","","https://na.finalfantasyxiv.com/lodestone/topics/detail/4af393d0bac4c00047fed36f242cc71e9f20311f"
"3.0","","https://na.finalfantasyxiv.com/lodestone/topics/detail/464263b3ce6026cdf98a49bf8f98c204c6199e5a"
"3.01","","https://na.finalfantasyxiv.com/lodestone/topics/detail/8d6ead756d63c285557418873e6e275711ca88e8"
"3.05","","https://na.finalfantasyxiv.com/lodestone/topics/detail/44dbad853713a8b307cc4745b8d28688cb23af11"
"3.07","","https://na.finalfantasyxiv.com/lodestone/topics/detail/698c850782604a0ce8d7a7a4bb7aff5b99d9fb32"
"3.1","","https://na.finalfantasyxiv.com/lodestone/topics/detail/6707e4bc0ca533c1a2cb12155fc91d884c6b6a84"
"3.15","","https://na.finalfantasyxiv.com/lodestone/topics/detail/86c483a5b15766c988ee8db15f4eda117b9d66e4"
"3.2","","https://na.finalfantasyxiv.com/lodestone/topics/detail/c755d756aece79cc9707f5444ad0980ac2b5a39c"
"3.21","","https://na.finalfantasyxiv.com/lodestone/topics/detail/93afb251b0a22bb2b7bf83f8b85150bc2eef00f6"
"3.22","","https://na.finalfantasyxiv.com/lodestone/topics/detail/d75b25c63991da97f2c79311d39cc307c28477e3"
"3.25","","https://na.finalfantasyxiv.com/lodestone/topics/detail/cbb6ca2c6b2f1fdfee3a68f0e18c9d4a609addd1"
"3.26","","https://na.finalfantasyxiv.com/lodestone/topics/detail/f2acf38d25fcc1243dedefa7e45ec7ba1c3aadaa"
"3.3","","https://na.finalfantasyxiv.com/lodestone/topics/detail/197e9c8b2f04efdecffe26bebe43b40551d1e3e8"
